source,path,category,subject_id,n_frames,has_nan,foot_skate,ground_pen,float_gap,max_jerk,max_speed,bone_cv,mean_speed,static_flag,outlier_flag,qc_pass,fail_reasons,split
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/OK_C_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,126,0,0.005131384638026983,0.0004473095390106702,0.0019698545100867177,320.3557570669345,1.0390500368688738,3.6908408692940323e-16,0.041409710845692525,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/counting_3_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.009302651953042796,0.001734633601354639,0.001670303635857344,591.2281580112697,0.5504894348013025,2.7241556370370797e-16,0.04162195628502482,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/SignB_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.002072616296966057,0.0008164743744721453,0.001004584564224812,106.83220423709449,1.0535772424035608,2.724465710892925e-16,0.043472775460416446,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/SignA_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.0026357073179388273,0.001208561416302819,0.0011635469650252105,195.21134562017917,1.1840300198386737,2.72104086919694e-16,0.04600974904729375,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/OK_A_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,151,0,0.0016753582755565256,9.396731762739176e-05,0.00035861705799276195,37.8735177957155,1.1840300198386737,2.8580945508383817e-16,0.03390144822822512,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/Talking02_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,1801,0,0.0027162003711286914,0.001081799792594461,0.0013226000717768164,29.892014851959498,0.6303254930254161,2.452717309679715e-16,0.02218561622799801,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/pointing_1_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.0032414904500139632,0.0029147249339251217,0.0017415123148186336,139.5024361128961,0.9305599352466766,2.523589734260016e-16,0.053860046584234364,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/counting_2_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.0015385298886993644,0.0002808736980876858,0.0006685534833493489,111.15932883456136,0.6443473190092613,2.728158842208324e-16,0.021573995813034857,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/TalkingD_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.0031397701594184403,0.0004021345167741358,0.0016859531873920502,148.28963683046098,0.6303258948539017,2.742733022159134e-16,0.03459371923597575,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/V_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,991,0,0.0016089500634767738,0.00033636903586737113,0.0006124694935178421,31.651113292230594,1.1600003992389187,2.7369505320756977e-16,0.03239992726263153,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/Waving_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,1073,0,0.002570465220454062,0.0006411645531545074,0.000981431925809878,88.87296310089916,1.4462378483507319,2.466592173352953e-16,0.07449659954853288,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/TalkingE_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.0029329901849741245,0.001438486346054332,0.003992963598385477,94.26100470865617,0.4488792192372549,2.7362677810982104e-16,0.022934950416018327,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/Run02_stageii.npz,Basic Locomotion,TCDHands/TCDHands,301,0,0.16677277164942386,0.0018759430011224473,0.011270085058071165,204.7120212757096,0.6577851701783564,2.841650342110089e-16,0.19076785306735236,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/OK_D_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,113,0,0.001738559971987465,8.075171561937947e-05,0.0003320552233818906,59.238966479784494,0.7809738681006074,2.3604879836313727e-16,0.027281652844771465,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/graspSphere_B_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.007485390494776696,0.0006835038471278525,0.0009089078729040724,395.258556010661,1.3021870269323481,2.637999524719852e-16,0.11350013055839478,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/OK_E_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,263,0,0.0021779557390184793,0.0007088992277330542,0.0008154232612333327,128.77988460712004,1.0923493211096411,2.406191036677807e-16,0.05294298394475675,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/OK_B_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,176,0,0.0031999599179806755,0.0008759968423619454,0.0010695127160263909,231.12559773249856,0.9500457383988838,2.429350061161703e-16,0.050843485808860785,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/graspLumbricalB_cl_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.0022196556841001924,0.0002997244466589888,0.0038346217830681067,11.83924476439909,0.43913676527020945,2.763260130337604e-16,0.02891554890884545,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/graspSphere_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,2211,0,0.003053104106895688,0.002375823841527412,0.0017300056943263947,186.88678018811038,1.3236055453252784,2.352450984454038e-16,0.05326772159666144,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/writing001_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,1105,0,0.0032590051023404327,0.0032008862461348118,0.0009238251500262203,25.633693349579026,0.9934985211014122,2.349044441151802e-16,0.02783615413870126,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/BottleB_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.003981667048248451,0.000277232401601709,0.0016262075758030105,274.97606956836773,0.7265063899649752,2.7814331404330915e-16,0.022255614256529714,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/Talking01B_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,358,0,0.0026183327437425416,0.001921124495123401,0.004029586555346385,69.16438434632279,0.44211383324679104,2.2974908237247615e-16,0.020769056751033865,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/TCDHands/TCDHands/ExperimentDatabase/Walking02_B_stageii.npz,Upper-Body Manipulation,TCDHands/TCDHands,301,0,0.044882319573031806,0.0015943997971467547,0.004535083146394267,130.7176297641766,0.5774919857662062,3.090005614283549e-16,0.10018542320960311,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/DFaust/DFaust/50020/50020_running_on_spot_stageii.npz,Agility / High-Dynamic,DFaust/DFaust,124,0,0.4443990284413122,0.00857594355209732,0.01429563999696648,3508.058562882344,6.7545265384622395,2.7042134538219386e-16,1.170689573482726,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/DFaust/DFaust/50020/50020_one_leg_jump_stageii.npz,Agility / High-Dynamic,DFaust/DFaust,125,0,0.2526920080265479,0.0031735009756353218,0.017129848807152626,686.1096894215405,2.590327288177434,3.188450907031265e-16,0.6145223832278401,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/DFaust/DFaust/50020/50020_punching_stageii.npz,Upper-Body Manipulation,DFaust/DFaust,102,0,0.09012198833596796,0.0017466646288632126,0.0031393450377067422,1745.2116198025537,6.527852152214658,2.492539289738899e-16,0.4815670583398031,0,1,1,,train
AMASS,../egodata/downloads/amass/extracted/DFaust/DFaust/50020/50020_knees_stageii.npz,Basic Locomotion,DFaust/DFaust,258,0,0.07487213472902142,0.00110551271335093,0.007544813260631222,286.9142478897557,3.1856818474533752,2.1971166011313064e-16,0.2407292828145729,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/DFaust/DFaust/50020/50020_hips_stageii.npz,Upper-Body Manipulation,DFaust/DFaust,166,0,0.04408191997440511,0.0008594333686730681,0.004820357734572012,225.0235621074209,0.6048217163999502,2.148374847033648e-16,0.19192709915013673,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/DFaust/DFaust/50020/50020_chicken_wings_stageii.npz,Upper-Body Manipulation,DFaust/DFaust,71,0,0.0518766770926236,0.0013691821532281878,0.003492108628541213,1468.4601796908553,3.4934323070579683,4.540491546579002e-16,0.40200500206931594,0,1,1,,train
AMASS,../egodata/downloads/amass/extracted/DFaust/DFaust/50020/50020_light_hopping_stiff_stageii.npz,Basic Locomotion,DFaust/DFaust,90,0,0.1134559059218422,0.0023446059031802524,0.008195294419796606,410.4630525029056,0.956028053579375,1.9052873044537498e-16,0.31967291298097916,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/DFaust/DFaust/50020/50020_shake_shoulders_stageii.npz,Upper-Body Manipulation,DFaust/DFaust,72,0,0.143904154441163,0.0018944582549975952,0.0037907038992686104,505.3209652759653,1.3009317591505898,2.1169349105682567e-16,0.23556957118235242,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/DFaust/DFaust/50020/50020_shake_arms_stageii.npz,Agility / High-Dynamic,DFaust/DFaust,87,0,0.058590107380376136,0.0018923881801545738,0.005501080678721237,3304.5565949900524,6.648245968277487,4.1880702614202697e-16,0.6594743474263226,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/DFaust/DFaust/50020/50020_shake_hips_stageii.npz,Upper-Body Manipulation,DFaust/DFaust,116,0,0.2934080568003692,0.0024336806784010625,0.007092140655015955,748.0744589960725,3.1727282637721608,2.0416064277466256e-16,0.35663876915404424,0,0,1,,train
AMASS,../egodata/downloads/amass/extracted/DFaust/DFaust/50025/50025_chicken_wings_stageii.npz,Upper-Body Manipulation,DFaust/DFaust,105,0,0.047096533122971074,0.0013728492146076032,0.0035857479671486114,1444.1393383024551,3.5934631218612654,2.2412719035979366e-16,0.3397672405688084,0,1,1,,train
